name,street,postcode,city,latitude,longitude,profiles
Rakennus- ja Arkkitehtipalvelu Pertti Ahola Oy,Loukkukatu 22,40630,Jyväskylä,62.2369858,25.684645721135432,https://www.finder.fi/Arkkitehtitoimisto+suunnittelutoimisto/Rakennus-+ja+Arkkitehtipalvelu+Pertti+Ahola+Oy/Jyv%C3%A4skyl%C3%A4/yhteystiedot/2093900
Arkkitehtitoimisto Tilatakomo Oy,Pyhäjärvenkatu 6,33200,Tampere,61.4736597,23.6661959,https://www.finder.fi/Arkkitehtitoimisto+suunnittelutoimisto/Arkkitehtitoimisto+Tilatakomo+Oy/Tampere/yhteystiedot/116592
Insinööritoimisto Eero Kellberg Oy,Mesimarjaviita 7,60150,Seinäjoki,62.7710961,22.8863171,https://www.finder.fi/Insin%C3%B6%C3%B6ritoimisto+suunnittelutoimisto/Insin%C3%B6%C3%B6ritoimisto+Eero+Kellberg+Oy/Sein%C3%A4joki/yhteystiedot/185956
Arkkitehtitoimisto HMV Oy,Töölönkatu 4,00100,Helsinki,60.173496,24.9310652,https://www.finder.fi/Arkkitehtitoimisto+suunnittelutoimisto/Arkkitehtitoimisto+HMV+Oy/Helsinki/yhteystiedot/170171
Arkkitehtitoimisto Jussi Tervaoja Oy,Klyyvari 3 A,90510,Oulu,65.0379692,25.4213209,https://www.finder.fi/Arkkitehtitoimisto+suunnittelutoimisto/Arkkitehtitoimisto+Jussi+Tervaoja+Oy/Oulu/yhteystiedot/125722
Arkkitehtitoimisto Käppi Oy,Pallokentäntie 4,45700,Kuusankoski,60.9060866,26.6220004,https://www.finder.fi/Arkkitehtitoimisto+suunnittelutoimisto/Arkkitehtitoimisto+K%C3%A4ppi+Oy/Kuusankoski/yhteystiedot/142546
Arkkitehtitoimisto Ulla Hovi Oy,Ruukinkatu 11 A,48100,Kotka,60.4533098,22.3018236,https://www.finder.fi/Arkkitehtitoimisto+suunnittelutoimisto/Arkkitehtitoimisto+Ulla+Hovi+Oy/Kotka/yhteystiedot/537562
Arkkitehtuurisuunnittelu P. Pylkkönen-Palm,Puuvillakatu 4,30100,Forssa,59.4523879,24.701062,https://www.finder.fi/Arkkitehtitoimisto+suunnittelutoimisto/Arkkitehtuurisuunnittelu+P+Pylkk%C3%B6nen-Palm/Forssa/yhteystiedot/350672
Arkkitehtuuritoimisto Kari Järvinen,Lohikuja 2,17200,Vääksy,61.8637946,28.83559353272859,https://www.finder.fi/Arkkitehtitoimisto+suunnittelutoimisto/Arkkitehtuuritoimisto+Kari+J%C3%A4rvinen/V%C3%A4%C3%A4ksy/yhteystiedot/500238
Liike Oy Arkkitehtistudio,Malminkatu 28,00100,Helsinki,60.1675605,24.9290514,https://www.finder.fi/Arkkitehtitoimisto+suunnittelutoimisto/Liike+Oy+Arkkitehtistudio/Helsinki/yhteystiedot/962612
Suunnittelumikkonen Ky,Takalontie 810,90910,Kontio,65.1509215,25.6979108,https://www.finder.fi/Arkkitehtitoimisto+suunnittelutoimisto/Suunnittelumikkonen+Ky/Kontio/yhteystiedot/419600
Tilatoive Oy,Kuuselantie 11 b,90800,Oulu,60.7062994,24.8125685,https://www.finder.fi/Arkkitehtitoimisto+suunnittelutoimisto/Tilatoive+Oy/Oulu/yhteystiedot/3156926
arkkitehdit MV oy,Otsolahdentie 7 A,02110,Espoo,60.1777897,24.818955351908308,https://www.finder.fi/Arkkitehtitoimisto+suunnittelutoimisto/arkkitehdit+MV+oy/Espoo/yhteystiedot/125867
Arkera Oy,Ali-Huikkaantie 33 A,33560,Tampere,61.5033907,23.8366467,https://www.finder.fi/Arkkitehtitoimisto+suunnittelutoimisto/Arkera+Oy/Tampere/yhteystiedot/116623
Insinööritoimisto Laaksonen Oy,Perttulankatu 21,05900,Hyvinkää,60.6370904,24.83854575941286,https://www.finder.fi/Insin%C3%B6%C3%B6ritoimisto+suunnittelutoimisto/Insin%C3%B6%C3%B6ritoimisto+Laaksonen+Oy/Hyvink%C3%A4%C3%A4/yhteystiedot/381875
Talopiirtopalvelu Kari Mäntylä Tmi,Kauppakatu 10,43100,Saarijärvi,61.190080800000004,28.770446648969582,https://www.finder.fi/Talonrakennus/Talopiirtopalvelu+Kari+M%C3%A4ntyl%C3%A4+Tmi/Saarij%C3%A4rvi/yhteystiedot/380781
V-S Tekniikkatalo Oy,Maariankatu 4 A,20100,Turku,60.567201,27.1947952,https://www.finder.fi/Arkkitehtitoimisto+suunnittelutoimisto/V-S+Tekniikkatalo+Oy/Turku/yhteystiedot/1603547
Arkkitehdit Davidsson Tarkela Oy,Kasarmikatu 36,00130,Helsinki,60.1651792,24.9476294,https://www.finder.fi/Arkkitehtitoimisto+suunnittelutoimisto/Arkkitehdit+Davidsson+Tarkela+Oy/Helsinki/yhteystiedot/125681
Hila Arkkitehdit Oy,Hämeenkatu 22,20500,Turku,60.4495982,22.2756294,https://www.finder.fi/Arkkitehtitoimisto+suunnittelutoimisto/Hila+Arkkitehdit+Oy/Turku/yhteystiedot/2817070
Arkkitehtitoimisto Yrjö J. Warvas Oy,Kalevankatu 4,08100,Lohja,62.6052841,25.719981444885363,https://www.finder.fi/Arkkitehtitoimisto+suunnittelutoimisto/Arkkitehtitoimisto+Yrj%C3%B6+J+Warvas+Oy/Lohja/yhteystiedot/125961
